"ID","animeID","genreID"
"2299","688","16"
"2300","690","16"
"880","692","3"
"881","693","3"
"1585","693","6"
"2301","693","16"
"882","694","3"
"883","695","3"
"1898","695","11"
"2552","695","17"
"884","696","3"
"1282","698","4"
"233","699","1"
"885","699","3"
"1586","699","6"
"234","700","1"
"1997","700","13"
"2553","700","17"
"235","701","1"
"1998","701","13"
"2554","701","17"
"236","702","1"
"1999","702","13"
"2555","702","17"
"237","703","1"
"2000","703","13"
"2556","703","17"
"238","704","1"
"2001","704","13"
"2557","704","17"
"239","705","1"
"2002","705","13"
"2558","705","17"
"240","706","1"
"2003","706","13"
"2559","706","17"
"241","707","1"
"2004","707","13"
"2560","707","17"
"242","708","1"
"2005","708","13"
"2561","708","17"
"243","709","1"
"537","709","2"
"1587","709","6"
"886","710","3"
"2302","710","16"
"244","711","1"
"887","711","3"
"1283","711","4"
"1588","711","6"
"1783","711","8"
"2668","711","18"
"245","712","1"
"2117","712","15"
"2669","712","18"
"538","713","2"
"1589","713","6"
"888","714","3"
"1590","714","6"
"1784","714","8"
"246","715","1"
"1591","715","6"
"889","716","3"
"2303","716","16"
"890","717","3"
"891","718","3"
"892","719","3"
"893","720","3"
"1284","720","4"
"894","721","3"
"895","722","3"
"2118","723","15"
"539","724","2"
"896","724","3"
"1592","724","6"
"247","725","1"
"1593","725","6"
"248","726","1"
"540","726","2"
"1594","726","6"
"1848","726","9"
"541","727","2"
"1595","727","6"
"1899","728","11"
"2049","728","14"
"897","730","3"
"1785","730","8"
"2304","730","16"
"249","731","1"
"1596","731","6"
"898","732","3"
"2305","732","16"
"899","733","3"
"1285","733","4"
"2306","733","16"
"900","734","3"
"1786","734","8"
"2307","734","16"
"901","735","3"
"1286","735","4"
"902","736","3"
"2308","736","16"
"903","737","3"
"1287","737","4"
"2309","737","16"
"1597","738","6"
"1288","739","4"
"2310","739","16"
"1598","740","6"
"904","741","3"
"2311","741","16"
"1787","742","8"
"2312","742","16"
"1289","743","4"
"1599","743","6"
"2313","743","16"
"905","744","3"
"542","745","2"
"1600","745","6"
"906","746","3"
"907","747","3"
"908","757","3"
"2314","757","16"
"1290","758","4"
"1601","758","6"
"1291","759","4"
"1602","759","6"
"543","760","2"
"1292","760","4"
"1293","761","4"
"1603","761","6"
"2315","762","16"
"909","763","3"
"1294","763","4"
"1935","763","12"
"2562","763","17"
"250","764","1"
"910","764","3"
"1295","764","4"
"1604","764","6"
"1788","764","8"
"2670","764","18"
"911","765","3"
"1605","765","6"
"2316","765","16"
"1296","766","4"
"2317","766","16"
"912","767","3"
"544","768","2"
"913","768","3"
"1606","768","6"
"1936","768","12"
"2318","768","16"
"545","769","2"
"1297","769","4"
"1607","769","6"
"2119","769","15"
"251","770","1"
"546","770","2"
"914","770","3"
"1849","770","9"
"252","771","1"
"915","771","3"
"253","772","1"
"916","772","3"
"2563","772","17"
"917","773","3"
"2319","773","16"
"254","774","1"
"918","774","3"
